Date,Exercise Type,Route Color/Level,Quantity/Time,Completion,Route features,Injury,Injury Type,New Route,Overhanging Route,Handicap
05/17/2018,Bouldering,Yellow,2,TRUE,volume-corner,FALSE,nan,FALSE,TRUE,FALSE
05/18/2018,Bouldering,Green,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/18/2018,Bouldering,Yellow,1,FALSE,volume,FALSE,nan,FALSE,FALSE,FALSE
05/18/2018,Bouldering,Yellow,2,TRUE,volume,FALSE,nan,FALSE,FALSE,FALSE
05/18/2018,Bouldering,Green,1,TRUE,chip,FALSE,nan,FALSE,FALSE,FALSE
05/18/2018,Bouldering,Yellow,1,FALSE,volume-corner,TRUE,shoulder,FALSE,TRUE,FALSE
05/18/2018,Bouldering,Gray,1,FALSE,nan,FALSE,nan,FALSE,FALSE,TRUE
05/18/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,FALSE,FALSE,TRUE
05/18/2018,Bouldering,Green,10,FALSE,volume,FALSE,nan,TRUE,FALSE,FALSE
05/18/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/18/2018,Bouldering,Green,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/18/2018,Bouldering,Yellow,1,TRUE,diag-chips,FALSE,nan,TRUE,FALSE,FALSE
05/18/2018,Bouldering,Green,1,FALSE,nan,FALSE,nan,TRUE,FALSE,FALSE
05/18/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/18/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/20/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/20/2018,Bouldering,Green,3,FALSE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/20/2018,Bouldering,Yellow,1,FALSE,nan,FALSE,nan,TRUE,TRUE,FALSE
05/20/2018,Bouldering,Green,4,FALSE,nan,FALSE,nan,TRUE,FALSE,FALSE
05/20/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,TRUE,FALSE,FALSE
05/20/2018,Bouldering,Green,1,FALSE,jumper,FALSE,nan,TRUE,FALSE,FALSE
05/20/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,FALSE,FALSE,TRUE
05/20/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/20/2018,Bouldering,Green,3,FALSE,volume,FALSE,nan,FALSE,FALSE,FALSE
05/20/2018,Bouldering,Green,1,TRUE,volume,FALSE,nan,FALSE,FALSE,FALSE
05/20/2018,Bouldering,Yellow,1,TRUE,volume,FALSE,nan,FALSE,TRUE,FALSE
05/20/2018,Bouldering,Yellow,1,FALSE,jumper,FALSE,nan,FALSE,FALSE,FALSE
05/20/2018,Bouldering,Green,1,TRUE,chip,FALSE,nan,FALSE,FALSE,FALSE
05/20/2018,Bouldering,Gray,1,FALSE,nan,FALSE,nan,FALSE,FALSE,TRUE
05/20/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,FALSE,FALSE,TRUE
05/20/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/20/2018,Bouldering,Yellow,1,FALSE,volume,TRUE,abrasion-bruise,TRUE,TRUE,FALSE
05/20/2018,Bouldering,Yellow,1,TRUE,corner,FALSE,nan,FALSE,FALSE,FALSE
05/20/2018,Bouldering,Yellow,1,FALSE,volume,FALSE,nan,FALSE,TRUE,FALSE
05/20/2018,Bouldering,Yellow,2,TRUE,volume,FALSE,nan,FALSE,TRUE,FALSE
05/21/2018,Yoga,nan,1,TRUE,nan,FALSE,nan,nan,nan,nan
05/21/2018,Bouldering,Green,1,FALSE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/21/2018,Bouldering,Green,1,TRUE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/21/2018,Bouldering,Green,2,FALSE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/21/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/21/2018,Bouldering,Yellow,1,FALSE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/21/2018,Bouldering,Yellow,1,TRUE,volume,FALSE,nan,FALSE,FALSE,FALSE
05/21/2018,Bouldering,Gray,1,TRUE,volume,FALSE,nan,FALSE,FALSE,FALSE
05/21/2018,Bouldering,Green,2,FALSE,volume,FALSE,nan,FALSE,FALSE,FALSE
05/21/2018,Bouldering,Green,1,TRUE,volume-chip,FALSE,nan,FALSE,FALSE,FALSE
05/21/2018,Bouldering,Green,1,TRUE,chip,FALSE,nan,FALSE,FALSE,FALSE
